Site_id,Visit_id,Species_id,Cover
1.035706390935275806e-01,7.289661990619856757e-01,-6.339608190966873336e-01,9.100000000000000311e-01
2.035870748919754170e-01,3.128348960739437135e-01,-6.339608190966873336e-01,7.900000000000000355e-01
-1.566325481575145118e-01,-3.572831243811483426e-01,-6.339608190966873336e-01,2.000000000000000042e-02
-1.453637130035781766e+00,1.505470310959376723e-01,1.763483867209712397e+00,2.000000000000000042e-02
-4.045342486525977388e-01,-1.167385174339046650e+00,1.763483867209712397e+00,8.000000000000000167e-02
-1.216432374545880046e+00,2.247180300102529504e-01,-6.339608190966873336e-01,1.000000000000000021e-02
-6.577844216502718444e-01,-5.496119155131172773e-01,-6.339608190966873336e-01,1.000000000000000021e-02
-8.190408676033842372e-01,-6.083564928889111378e-01,-6.339608190966873336e-01,1.000000000000000021e-02
1.086887308694844956e+00,-6.777992697217600782e-01,-6.339608190966873336e-01,6.600000000000000311e-01
-7.893568452140052871e-01,-1.120532791895425762e+00,1.763483867209712397e+00,8.000000000000000167e-02
9.630701702598680747e-01,4.874447943551650231e-01,-6.339608190966873336e-01,1.000000000000000021e-02
4.072608718808576334e-02,-9.959274241121363058e-01,-6.339608190966873336e-01,4.000000000000000083e-02
-1.689504767400035856e+00,1.253703330466739319e+00,-6.339608190966873336e-01,4.000000000000000083e-02
6.158512994818985536e-02,-4.187022516212060008e-01,-6.339608190966873336e-01,6.400000000000000133e-01
1.075655516439404158e+00,-1.350089267332260090e-01,1.142570324737378629e+00,1.000000000000000021e-02
-1.247453515060906737e+00,-7.688522700449341996e-02,1.763483867209712397e+00,2.999999999999999889e-02
2.035870748919754170e-01,-1.400405331263028907e+00,-6.339608190966873336e-01,4.500000000000000111e-01
1.532415068160657867e+00,1.412313689381382575e+00,-6.339608190966873336e-01,1.000000000000000021e-02
-5.489430062225492124e-01,-1.149093163660242611e+00,1.763483867209712397e+00,2.000000000000000042e-02
3.766101603507875928e-01,-8.805397013967558584e-01,-6.339608190966873336e-01,2.000000000000000111e-01
-1.151715857264531628e+00,-1.715667896513122459e+00,-6.339608190966873336e-01,2.000000000000000111e-01
-6.219496558829135102e-01,-1.671824382666798225e+00,-6.339608190966873336e-01,2.000000000000000042e-02
